trip_id,route_id,stop_id,scheduled_seconds,observed_seconds,delay_seconds,timestamp
72188438,48,4341,,81780,0,1766529780
72188438,48,6717,,81780,0,1766529780
72188438,48,6718,,81840,0,1766529840
72188438,48,4129,,81900,0,1766529900
72188438,48,6858,,86399,0,-1
72188438,48,6216,,86399,0,-1
72188438,48,4340,,86399,0,-1
72188438,48,4339,,86399,0,-1
72188438,48,4338,,86399,0,-1
72188438,48,6217,,86399,0,-1
72188438,48,4337,,86399,0,-1
72188438,48,7569,,86399,0,-1
72188438,48,7570,,81900,0,1766529900
72188479,48,4344,,79380,0,1766527380
72188479,48,6212,,79440,0,1766527440
72188479,48,4343,,79560,0,1766527560
72188479,48,6674,,79620,0,1766527620
72188479,48,6213,,79680,0,1766527680
72188479,48,4342,,79740,0,1766527740
72188479,48,6214,,79800,0,1766527800
72188479,48,6962,,79920,0,1766527920
72188479,48,6705,,80040,0,1766528040
72188479,48,6963,,80040,0,1766528040
72188479,48,6964,,80100,0,1766528100
72188479,48,6965,,80160,0,1766528160
72188479,48,6966,,80220,0,1766528220
72188479,48,6967,,80280,0,1766528280
72188479,48,7649,,80340,0,1766528340
72188479,48,7650,,80340,0,1766528340
72188479,48,6706,,80460,0,1766528460
72188479,48,6702,,80520,0,1766528520
72188479,48,6215,,80520,0,1766528520
72188479,48,4341,,80640,0,1766528640
72188479,48,6717,,80640,0,1766528640
72188479,48,6718,,80700,0,1766528700
72188479,48,4129,,80760,0,1766528760
72188479,48,6858,,80880,0,1766528880
72188479,48,6216,,80940,0,1766528940
72188479,48,4340,,80940,0,1766528940
72188479,48,4339,,81000,0,1766529000
72188479,48,4338,,81060,0,1766529060
72188479,48,6217,,81180,0,1766529180
72188479,48,4337,,81180,0,1766529180
72188479,48,7569,,81300,0,1766529300
72188479,48,7570,,81360,0,1766529360
72188480,48,7570,,86399,0,-1
72188480,48,6211,,81780,0,1766529780
72188480,48,4345,,81900,0,1766529900
72188480,48,4344,,82020,0,1766530020
72188480,48,6212,,,0,
72188542,59,1929,,79380,0,1766527380
72188542,59,1930,,79440,0,1766527440
72188542,59,1970,,79440,0,1766527440
72188542,59,2380,,79500,0,1766527500
72188542,59,2382,,79560,0,1766527560
72188542,59,2383,,79560,0,1766527560
72188542,59,9549,,79620,0,1766527620
72188542,59,9254,,79680,0,1766527680
72188542,59,8579,,79800,0,1766527800
72188544,85,8579,,86399,0,-1
72188544,85,9634,,80160,0,1766528160
72188544,85,4089,,80220,0,1766528220
72188544,85,9635,,80280,0,1766528280
72188544,85,9636,,80280,0,1766528280
72188544,85,9637,,80340,0,1766528340
72188544,85,9638,,80400,0,1766528400
72188544,85,9693,,80460,0,1766528460
72188544,85,7868,,80460,0,1766528460
72188544,85,7610,,80460,0,1766528460
72188544,85,8877,,80520,0,1766528520
72188544,85,9653,,80640,0,1766528640
72188544,85,9645,,80760,0,1766528760
72188545,85,9645,,86399,0,-1
72188545,85,9651,,81000,0,1766529000
72188545,85,9655,,81060,0,1766529060
72188545,85,5600,,81120,0,1766529120
72188545,85,8874,,81180,0,1766529180
72188545,85,8875,,81240,0,1766529240
72188545,85,8876,,81240,0,1766529240
72188545,85,4984,,81360,0,1766529360
72188545,85,4983,,81420,0,1766529420
72188545,85,4982,,81420,0,1766529420
72188545,85,9361,,81480,0,1766529480
72188545,85,9623,,81540,0,1766529540
72188545,85,9624,,81600,0,1766529600
72188545,85,9625,,81600,0,1766529600
72188545,85,9626,,81720,0,1766529720
72188545,85,9533,,81780,0,1766529780
72188545,85,4124,,81840,0,1766529840
72188545,85,8597,,,0,
72188588,88,4458,,79380,0,1766527380
72188588,88,8433,,79380,0,1766527380
72188588,88,7594,,79440,0,1766527440
72188588,88,4457,,79680,0,1766527680
72188588,88,5371,,79800,0,1766527800
72188588,88,7600,,79800,0,1766527800
72188588,88,8331,,79860,0,1766527860
72188588,88,6929,,79860,0,1766527860
72188588,88,5743,,79980,0,1766527980
72188588,88,7870,,80040,0,1766528040
72188588,88,7608,,80100,0,1766528100
72188588,88,8334,,80100,0,1766528100
72188588,88,5612,,80160,0,1766528160
72188588,88,7611,,80220,0,1766528220
72188588,88,7612,,80280,0,1766528280
72188588,88,7613,,80340,0,1766528340
72188588,88,7614,,80400,0,1766528400
72188588,88,7615,,80460,0,1766528460
72188588,88,7616,,80520,0,1766528520
72188588,88,8332,,80520,0,1766528520
72188588,88,4591,,80580,0,1766528580
72188588,88,7595,,80760,0,1766528760
72188588,88,8421,,80820,0,1766528820
72188588,88,4590,,80880,0,1766528880
72188588,88,5519,,80880,0,1766528880
72188588,88,6201,,80940,0,1766528940
72188589,88,6201,,86399,0,-1
72188589,88,4458,,81180,0,1766529180
72188589,88,8433,,81180,0,1766529180
72188589,88,7594,,81240,0,1766529240
72188589,88,4457,,81480,0,1766529480
72188589,88,5371,,81600,0,1766529600
72188589,88,7600,,81600,0,1766529600
72188589,88,8331,,81660,0,1766529660
72188589,88,6929,,81660,0,1766529660
72188589,88,5743,,81780,0,1766529780
72188589,88,7870,,81840,0,1766529840
72188589,88,7608,,81900,0,1766529900
72188589,88,8334,,81900,0,1766529900
72188589,88,5612,,81960,0,1766529960
72188589,88,7611,,82020,0,1766530020
72188589,88,7612,,,0,
72188641,93,8956,,79380,0,1766527380
72188641,93,8957,,79380,0,1766527380
72188641,93,9268,,79440,0,1766527440
72188641,93,8958,,79500,0,1766527500
72188641,93,8951,,79500,0,1766527500
72188641,93,8952,,79620,0,1766527620
72188641,93,6528,,79620,0,1766527620
72188641,93,8606,,79740,0,1766527740
72188641,93,7264,,86399,0,-1
72188641,93,3726,,79980,0,1766527980
72188641,93,3727,,80040,0,1766528040
72188641,93,3728,,80100,0,1766528100
72188641,93,3729,,80160,0,1766528160
72188641,93,3730,,80160,0,1766528160
72188641,93,3731,,80220,0,1766528220
72188641,93,8610,,80280,0,1766528280
72188641,93,8939,,80340,0,1766528340
72188641,93,8940,,80460,0,1766528460
72188641,93,8485,,80460,0,1766528460
72188641,93,8486,,80520,0,1766528520
72188641,93,8487,,80580,0,1766528580
72188641,93,8488,,80640,0,1766528640
72188641,93,8925,,80640,0,1766528640
72188641,93,7786,,80700,0,1766528700
72188641,93,8379,,80820,0,1766528820
72188641,93,7978,,80940,0,1766528940
72188641,93,6789,,81060,0,1766529060
72188641,93,9270,,81120,0,1766529120
72188641,93,4176,,81300,0,1766529300
72188641,93,4177,,81300,0,1766529300
72188641,93,4178,,81360,0,1766529360
72188641,93,6496,,81360,0,1766529360
72188641,93,6497,,81420,0,1766529420
72188641,93,4844,,81480,0,1766529480
72188641,93,6498,,81540,0,1766529540
72188641,93,7444,,81600,0,1766529600
72188641,93,7445,,81660,0,1766529660
72188642,93,7445,,86399,0,-1
72188642,93,7446,,81660,0,1766529660
72188642,93,6785,,81780,0,1766529780
72188642,93,7789,,81780,0,1766529780
72188642,93,7790,,81840,0,1766529840
72188642,93,6786,,81900,0,1766529900
72188642,93,7787,,81960,0,1766529960
72188642,93,6499,,,0,
72188647,93,3645,,86399,0,-1
72188647,93,9020,,80580,0,1766528580
72188647,93,8914,,80640,0,1766528640
72188647,93,8915,,80700,0,1766528700
72188647,93,8916,,80760,0,1766528760
72188647,93,8917,,80880,0,1766528880
72188647,93,8918,,80880,0,1766528880
72188647,93,8919,,80940,0,1766528940
72188647,93,8920,,81000,0,1766529000
72188647,93,8921,,81060,0,1766529060
72188647,93,8922,,81180,0,1766529180
72188647,93,8923,,81240,0,1766529240
72188647,93,3724,,81360,0,1766529360
72188647,93,3725,,81420,0,1766529420
72188647,93,8956,,81480,0,1766529480
72188647,93,8957,,81480,0,1766529480
72188647,93,9268,,81540,0,1766529540
72188647,93,8958,,81600,0,1766529600
72188647,93,8951,,81600,0,1766529600
72188647,93,8952,,81720,0,1766529720
72188647,93,6528,,81720,0,1766529720
72188647,93,8606,,81840,0,1766529840
72188647,93,7264,,82020,0,1766530020
72188647,93,3726,,,0,
72188649,93,3645,,86399,0,-1
72188649,93,9020,,81780,0,1766529780
72188649,93,8914,,81900,0,1766529900
72188649,93,8915,,81960,0,1766529960
72188649,93,8916,,,0,
72188669,93,7978,,79380,0,1766527380
72188669,93,6789,,79500,0,1766527500
72188669,93,9270,,79560,0,1766527560
72188669,93,4176,,79740,0,1766527740
72188669,93,4177,,79740,0,1766527740
72188669,93,4178,,79800,0,1766527800
72188669,93,6496,,79800,0,1766527800
72188669,93,6497,,79860,0,1766527860
72188669,93,4844,,79920,0,1766527920
72188669,93,6498,,79980,0,1766527980
72188669,93,7444,,80040,0,1766528040
72188669,93,7445,,80100,0,1766528100
72188677,93,8478,,79380,0,1766527380
72188677,93,8479,,79500,0,1766527500
72188677,93,8480,,79560,0,1766527560
72188677,93,8481,,79560,0,1766527560
72188677,93,8936,,79620,0,1766527620
72188677,93,8937,,79680,0,1766527680
72188677,93,8938,,79740,0,1766527740
72188677,93,8611,,79800,0,1766527800
72188677,93,6869,,79860,0,1766527860
72188677,93,6870,,79860,0,1766527860
72188677,93,6873,,79920,0,1766527920
72188677,93,6872,,79980,0,1766527980
72188677,93,7619,,80040,0,1766528040
72188677,93,6930,,80100,0,1766528100
72188677,93,8007,,80160,0,1766528160
72188677,93,7263,,80160,0,1766528160
72188677,93,7596,,80280,0,1766528280
72188677,93,8953,,80400,0,1766528400
72188677,93,8954,,80400,0,1766528400
72188677,93,3733,,80460,0,1766528460
72188677,93,3734,,80520,0,1766528520
72188677,93,3735,,80640,0,1766528640
72188677,93,3736,,80700,0,1766528700
72188677,93,3737,,80760,0,1766528760
72188677,93,3738,,80880,0,1766528880
72188677,93,3739,,80940,0,1766528940
72188677,93,3394,,81000,0,1766529000
72188677,93,3740,,81000,0,1766529000
72188677,93,4634,,81120,0,1766529120
72188677,93,4633,,81120,0,1766529120
72188677,93,4632,,81180,0,1766529180
72188677,93,5661,,81240,0,1766529240
72188677,93,4631,,81300,0,1766529300
72188677,93,4630,,81300,0,1766529300
72188677,93,4629,,81360,0,1766529360
72188677,93,4628,,81420,0,1766529420
72188677,93,5662,,81480,0,1766529480
72188677,93,4627,,81540,0,1766529540
72188677,93,4626,,81600,0,1766529600
72188677,93,5664,,81660,0,1766529660
72188677,93,3645,,81660,0,1766529660
72188684,93,3738,,79380,0,1766527380
72188684,93,3739,,79440,0,1766527440
72188684,93,3394,,79500,0,1766527500
72188684,93,3740,,79500,0,1766527500
72188684,93,4634,,79620,0,1766527620
72188684,93,4633,,79620,0,1766527620
72188684,93,4632,,79680,0,1766527680
72188684,93,5661,,79740,0,1766527740
72188684,93,4631,,79800,0,1766527800
72188684,93,4630,,79800,0,1766527800
72188684,93,4629,,79860,0,1766527860
72188684,93,4628,,79920,0,1766527920
72188684,93,5662,,79980,0,1766527980
72188684,93,4627,,80040,0,1766528040
72188684,93,4626,,80100,0,1766528100
72188684,93,5664,,80160,0,1766528160
72188684,93,3645,,80220,0,1766528220
72188701,118,6329,,79380,0,1766527380
72188701,118,7807,,79440,0,1766527440
72188701,118,7808,,79500,0,1766527500
72188701,118,9873,,79620,0,1766527620
72188702,118,9873,,86399,0,-1
72188702,118,6984,,79860,0,1766527860
72188702,118,7806,,79860,0,1766527860
72188702,118,6985,,79920,0,1766527920
72188702,118,6987,,79980,0,1766527980
72188702,118,6988,,80040,0,1766528040
72188702,118,6992,,80160,0,1766528160
72188702,118,6993,,80220,0,1766528220
72188702,118,6994,,80220,0,1766528220
72188702,118,7695,,80280,0,1766528280
72188702,118,7696,,80340,0,1766528340
72188702,118,8407,,80340,0,1766528340
72188702,118,8408,,80400,0,1766528400
72188702,118,8462,,80400,0,1766528400
72188702,118,8410,,80460,0,1766528460
72188702,118,8409,,80520,0,1766528520
72188702,118,8411,,80580,0,1766528580
72188702,118,7859,,80640,0,1766528640
72188702,118,7701,,80760,0,1766528760
72188702,118,6710,,80760,0,1766528760
72188702,118,7860,,80820,0,1766528820
72188702,118,7861,,80880,0,1766528880
72188702,118,6990,,80940,0,1766528940
72188702,118,6991,,80940,0,1766528940
72188702,118,7002,,81120,0,1766529120
72188702,118,7804,,81180,0,1766529180
